Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,361.49,364.4,359.01,363.32,363.32,1067800
2021-11-05,363.42,369.69,359.49,364.95,364.95,1575400
2021-11-08,366.02,368.14,361.97,365.42,365.42,908100
2021-11-09,365.0,366.79,362.57,364.15,364.15,1123500
2021-11-10,363.0,367.48,357.89,359.49,359.49,1082100
2021-11-11,360.0,360.26,348.65,350.79,350.79,1376700
2021-11-12,353.68,356.67,350.47,354.93,354.93,928100
2021-11-15,355.51,357.19,351.73,353.56,353.56,878300
2021-11-16,351.86,362.82,351.86,361.12,361.12,1182200
2021-11-17,361.12,364.22,358.0,361.42,361.42,1449200
2021-11-18,361.46,362.66,356.42,359.2,359.2,896600
2021-11-19,359.2,359.96,346.0,348.65,348.65,1677600
2021-11-22,348.0,349.0,340.43,340.72,340.72,2041300
2021-11-23,341.0,341.69,332.81,335.9,335.9,2070800
2021-11-24,335.45,340.5,331.79,339.42,339.42,993400
2021-11-26,330.67,334.95,328.04,329.23,329.23,1491800
2021-11-29,332.81,339.67,328.2,334.74,334.74,1763600
2021-11-30,335.22,336.22,321.5,324.34,324.34,2414400
2021-12-01,328.61,330.13,319.65,319.93,319.93,1672500
2021-12-02,319.93,329.52,318.44,327.32,327.32,1350000
2021-12-03,329.2,329.99,313.69,321.63,321.63,2485100
