Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,189.1,194.41,188.3,194.21,194.21,3469200
2021-11-05,193.76,195.23,191.48,192.85,192.85,2231700
2021-11-08,192.99,194.46,190.64,192.23,192.23,1345700
2021-11-09,192.23,193.41,190.31,191.09,191.09,1727500
2021-11-10,191.01,192.61,187.51,187.91,187.91,1340200
2021-11-11,188.0,188.15,185.1,185.87,185.87,1146200
2021-11-12,187.01,187.79,186.03,187.29,187.29,940200
2021-11-15,187.29,187.92,186.11,186.86,186.86,1003200
2021-11-16,186.45,188.87,185.58,188.33,188.33,1372000
2021-11-17,188.63,198.53,187.12,188.25,188.25,2691200
2021-11-18,188.25,189.48,184.89,185.41,185.41,1594400
2021-11-19,184.82,185.22,181.02,182.88,182.88,1587700
2021-11-22,182.65,183.65,180.15,181.5,181.5,1173700
2021-11-23,181.05,187.07,179.96,186.85,186.85,2159400
2021-11-24,187.26,188.33,184.71,186.24,186.24,3086800
2021-11-26,187.33,189.8,182.66,183.59,183.59,1127400
2021-11-29,187.45,192.36,185.46,190.11,190.11,2802000
2021-11-30,189.5,192.62,186.26,186.94,186.94,3988600
2021-12-01,195.59,205.85,194.1,205.0,205.0,7044400
2021-12-02,201.82,208.16,201.51,204.45,204.45,3378100
2021-12-03,205.78,206.43,202.0,203.81,203.81,2870200
