Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,253.53,253.85,247.08,247.79,246.42,3497200.0
2022-02-24,242.93,245.58,239.61,245.03,243.67,4856000.0
2022-02-25,246.0,249.53,243.63,249.45,248.07,4549700.0
2022-02-28,244.44,245.72,242.36,244.77,244.77,4406100.0
2022-03-01,242.3,243.6,238.3,239.63,239.63,3910700.0
2022-03-02,240.85,242.74,239.61,240.94,240.94,4482000.0
2022-03-03,241.01,242.34,235.68,236.65,236.65,4707400.0
2022-03-04,234.62,236.39,231.64,235.81,235.81,4184100.0
2022-03-07,234.31,234.31,224.19,224.33,224.33,5425000.0
2022-03-08,224.33,229.74,222.2,222.79,222.79,5258800.0
2022-03-09,226.79,227.25,222.01,222.47,222.47,5630500.0
2022-03-10,220.2,222.05,217.68,222.0,222.0,5444900.0
2022-03-11,224.74,229.11,224.2,226.87,226.87,6125700.0
2022-03-14,226.78,228.44,223.16,226.18,226.18,4436100.0
2022-03-15,227.98,234.57,227.98,232.57,232.57,5087400.0
2022-03-16,234.87,238.21,234.36,238.14,238.14,4173200.0
2022-03-17,236.44,237.47,234.54,237.47,237.47,3752800.0
2022-03-18,237.23,239.19,235.99,238.92,238.92,5332600.0
2022-03-21,239.58,240.09,234.07,235.32,235.32,3704000.0
2022-03-22,237.04,238.44,236.47,238.12,238.12,2933516.0
