Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,66.65,66.98,66.19,66.28,66.28,7177300.0
2022-02-24,65.31,65.87,63.22,64.65,64.65,10323900.0
2022-02-25,65.02,66.79,64.9,66.76,66.76,7561800.0
2022-02-28,65.57,65.94,64.67,65.48,65.48,7916600.0
2022-03-01,64.99,65.45,64.13,64.34,64.34,8740800.0
2022-03-02,64.23,65.07,63.98,64.7,64.7,7452400.0
2022-03-03,65.1,65.49,64.65,64.91,64.91,6539700.0
2022-03-04,64.04,64.26,63.21,63.83,63.83,10949600.0
2022-03-07,63.76,63.76,62.18,62.53,62.53,13768300.0
2022-03-08,62.47,62.8,60.71,60.8,60.8,13037600.0
2022-03-09,61.6,62.08,61.09,61.29,61.29,8709400.0
2022-03-10,60.62,60.71,59.68,60.16,60.16,7342000.0
2022-03-11,60.5,61.07,59.02,59.12,59.12,9385100.0
2022-03-14,59.48,60.43,59.21,59.34,59.34,9806700.0
2022-03-15,59.84,61.28,59.59,61.17,61.17,9677200.0
2022-03-16,61.46,62.17,61.02,61.95,61.95,12071100.0
2022-03-17,61.96,62.78,61.34,62.27,62.27,7243600.0
2022-03-18,61.55,61.88,60.95,61.51,61.51,12832900.0
2022-03-21,61.54,61.89,61.09,61.37,61.37,8934000.0
2022-03-22,61.68,61.83,60.87,61.57,61.57,5213313.0
