Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,123.07,123.39,119.71,121.44,121.44,4635600.0
2022-02-24,119.74,123.95,118.73,123.66,123.66,5549100.0
2022-02-25,124.73,125.99,123.24,125.46,125.46,3816600.0
2022-02-28,121.47,123.47,121.18,123.21,123.21,5167700.0
2022-03-01,121.91,124.03,121.63,123.13,123.13,4325900.0
2022-03-02,123.9,126.31,123.16,125.61,125.61,4177700.0
2022-03-03,126.54,127.2,123.63,123.92,123.92,4718800.0
2022-03-04,123.55,124.78,122.43,123.23,123.23,5086400.0
2022-03-07,122.5,123.65,121.79,122.31,122.31,5161500.0
2022-03-08,121.14,121.83,116.91,119.28,119.28,6186800.0
2022-03-09,120.68,122.53,120.49,121.96,121.96,4290200.0
2022-03-10,120.66,123.92,120.44,123.54,123.54,4200600.0
2022-03-11,124.43,126.38,124.4,124.57,124.57,4207200.0
2022-03-14,124.37,126.44,123.97,124.07,124.07,5149500.0
2022-03-15,124.89,127.6,124.89,126.28,126.28,3879200.0
2022-03-16,126.02,128.14,125.47,127.76,127.76,5453800.0
2022-03-17,128.57,129.57,127.71,128.95,128.95,5042000.0
2022-03-18,128.88,129.4,126.69,127.18,127.18,8564300.0
2022-03-21,126.92,126.92,124.2,125.97,125.97,5920100.0
2022-03-22,126.58,127.1,125.43,125.69,125.69,4594266.0
