Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,177.99,178.4,172.78,173.06,172.5,902600.0
2022-02-24,170.34,176.47,169.06,175.94,175.38,1567800.0
2022-02-25,176.77,180.91,175.68,180.3,179.72,1107600.0
2022-02-28,176.98,177.94,173.7,176.26,175.69,2077000.0
2022-03-01,175.48,176.04,169.55,170.51,169.96,1637800.0
2022-03-02,170.9,173.22,169.59,172.85,172.3,2175500.0
2022-03-03,174.64,174.9,170.3,171.12,170.57,791500.0
2022-03-04,168.78,170.04,166.43,168.11,167.57,1159600.0
2022-03-07,166.92,167.91,158.44,158.53,158.02,1932800.0
2022-03-08,158.69,160.82,154.85,156.73,156.23,2143800.0
2022-03-09,161.43,166.56,160.31,165.02,164.49,2048900.0
2022-03-10,162.26,163.36,158.93,162.48,161.96,1172200.0
2022-03-11,161.62,163.66,158.61,158.85,158.34,1302000.0
2022-03-14,163.06,166.19,161.23,165.03,165.03,1713900.0
2022-03-15,166.07,171.0,165.44,167.82,167.82,2501900.0
2022-03-16,169.4,172.45,166.16,170.76,170.76,2641300.0
2022-03-17,170.39,172.25,169.65,171.67,171.67,2657600.0
2022-03-18,168.8,173.55,167.63,171.14,171.14,5293200.0
2022-03-21,171.99,172.64,168.7,170.72,170.72,1826800.0
2022-03-22,175.39,178.76,173.85,176.35,176.35,3362629.0
