Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,162.07,163.5,156.17,156.49,155.73,5087000.0
2022-02-24,154.33,160.0,152.03,159.79,159.79,4152200.0
2022-02-25,159.88,162.18,157.67,162.12,162.12,2741600.0
2022-02-28,161.33,161.33,157.24,160.29,160.29,3606900.0
2022-03-01,159.53,160.75,155.55,156.95,156.95,3761800.0
2022-03-02,157.47,161.53,157.11,159.82,159.82,2578700.0
2022-03-03,161.46,161.7,156.97,159.28,159.28,2656100.0
2022-03-04,157.68,159.27,155.75,156.85,156.85,2778600.0
2022-03-07,157.02,157.34,146.21,146.28,146.28,5701300.0
2022-03-08,146.02,152.78,143.85,148.52,148.52,4745200.0
2022-03-09,153.09,155.06,151.3,153.62,153.62,3046300.0
2022-03-10,150.85,151.79,147.85,150.56,150.56,4035700.0
2022-03-11,153.2,153.78,147.29,147.6,147.6,3964300.0
2022-03-14,147.52,148.84,143.81,145.63,145.63,3910500.0
2022-03-15,147.32,151.46,146.41,150.92,150.92,3309900.0
2022-03-16,153.09,158.75,152.53,158.57,158.57,4376200.0
2022-03-17,156.87,160.05,155.76,159.98,159.98,4272400.0
2022-03-18,158.56,163.94,157.09,163.45,163.45,9900900.0
2022-03-21,161.8,164.74,161.47,164.22,164.22,3258900.0
2022-03-22,163.79,166.49,163.55,164.77,164.77,2568449.0
