Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,36.81,37.19,36.2,36.26,35.94,1777200
2021-11-05,36.38,36.72,35.54,36.28,35.96,2380200
2021-11-08,36.55,37.35,36.41,36.99,36.66,3474500
2021-11-09,36.95,37.0,36.43,36.64,36.32,2567400
2021-11-10,36.54,37.37,36.23,36.63,36.31,4025500
2021-11-11,35.41,35.44,32.75,34.72,34.41,5810200
2021-11-12,34.65,34.72,33.52,33.7,33.4,2531100
2021-11-15,33.7,33.75,33.01,33.38,33.08,2553500
2021-11-16,33.31,33.76,32.9,33.54,33.24,2385400
2021-11-17,33.45,33.53,32.63,32.95,32.66,2008700
2021-11-18,32.94,32.99,31.34,31.6,31.32,2625800
2021-11-19,31.61,31.82,30.88,31.25,31.25,2631300
2021-11-22,31.46,31.99,31.45,31.64,31.64,2183200
2021-11-23,31.69,31.69,30.95,31.2,31.2,2008500
2021-11-24,31.26,31.64,30.96,31.54,31.54,1872700
2021-11-26,31.06,31.6,30.71,31.13,31.13,1287200
2021-11-29,31.04,31.06,30.13,30.62,30.62,2286900
2021-11-30,30.39,30.49,29.05,29.23,29.23,3273000
2021-12-01,29.57,29.96,28.57,28.73,28.73,2858600
2021-12-02,28.89,29.97,28.7,29.67,29.67,2700900
2021-12-03,29.68,29.79,28.5,28.83,28.83,2416100
