Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,231.61,231.92,225.0,228.22,228.22,14158900
2021-11-05,230.0,230.42,224.6,225.78,225.78,16633100
2021-11-08,227.96,230.97,226.25,229.42,229.42,23213900
2021-11-09,212.4,212.4,200.68,205.42,205.42,63995100
2021-11-10,204.1,208.2,202.78,204.64,204.64,23585900
2021-11-11,207.92,208.31,201.56,202.03,202.03,17712100
2021-11-12,203.25,210.02,201.48,208.3,208.3,20923000
2021-11-15,212.22,214.21,210.71,212.54,212.54,17433100
2021-11-16,214.89,215.97,211.77,215.67,215.67,16697500
2021-11-17,211.15,213.97,203.35,206.27,206.27,23095600
2021-11-18,206.99,207.5,199.2,200.5,200.5,19980100
2021-11-19,202.19,202.5,193.07,193.61,193.61,24607500
2021-11-22,193.62,193.9,184.27,189.48,189.48,29956600
2021-11-23,189.15,190.79,185.2,188.05,188.05,20004500
2021-11-24,187.0,189.64,184.74,188.71,188.71,13359100
2021-11-26,188.38,193.0,186.83,187.79,187.79,11080400
2021-11-29,188.92,189.9,182.43,187.24,187.24,16308200
2021-11-30,186.47,188.82,180.5,184.89,184.89,21144300
2021-12-01,187.77,190.35,179.15,179.32,179.32,19491300
2021-12-02,180.1,188.8,179.73,187.15,187.15,20422700
2021-12-03,187.73,187.8,179.29,183.93,183.93,20722300
